CODGEO;POP;SUPERF;NAIS1420;DECE1420;MEN;LOG;RP;RSECOCC;LOGVAC;RP_PROP;EMPLT;EMPLT_SAL;POP1564;CHOM1564;ACT1564;Ville
69264;36009;9.48;3742;1795;17090;19273;17090;301;1881;6026;19891;17491;21912;2623;15654;Villefranche-sur-Saône
69266;154781;14.52;15368;5345;76852;87060;76852;3019;7188;26905;61108;54554;106754;10953;76431;Villeurbanne
69275;28913;17.01;2779;1272;12223;12930;12223;81;625;6374;11048;9756;17764;1757;13450;Décines-Charpieu
69282;35134;23.01;2794;1313;13915;14870;13915;171;783;8655;13661;12252;21289;1961;16351;Meyzieu
69286;30887;14.48;2867;1191;11981;12943;11981;74;887;4852;11370;10098;18496;2017;12732;Rillieux-la-Pape
69290;48318;29.71;4773;1767;19977;21925;19977;339;1608;9986;40192;37540;30170;3004;22650;Saint-Priest
71076;45094;15.22;3451;2642;24310;27623;24310;778;2535;9087;31113;28309;27115;3551;20128;Chalon-sur-Saône
71153;21057;18.11;1237;2198;11009;12844;11009;212;1622;4526;11200;10206;11903;1351;7895;Le Creusot
71270;34414;27.04;2837;2089;16747;19138;16747;575;1814;6194;26675;24214;20274;2522;14939;Mâcon
72181;145155;52.81;10893;8404;72932;83515;72932;2547;8036;33112;83889;76930;88838;11454;64298;Le Mans
73008;31100;12.62;1930;2123;16476;21613;16476;3099;2038;8462;12933;10825;18381;1717;14180;Aix-les-Bains
73065;59172;20.99;4747;3192;28669;32853;28669;979;3204;11560;41619;37327;37301;3800;26781;Chambéry
74010;131766;66.93;9503;6171;64422;74190;64422;4573;5194;32192;72793;62396;83194;6270;65607;Annecy
74012;37485;4.98;3819;1199;17650;20117;17650;755;1712;6288;13618;11741;24650;3310;19219;Annemasse
74281;36626;16.21;2858;2252;17499;21395;17499;1735;2160;8364;15610;13493;22073;2202;17387;Thonon-les-Bains
75056;2145906;105.4;167944;83459;1131609;1393799;1131609;134210;127979;377474;1865785;1599167;1489585;129095;1166117;Paris
76217;28091;11.67;1895;2762;14916;19601;14916;1970;2714;5319;16158;14540;15978;2576;10861;Dieppe
76322;26034;11.11;1619;1503;12971;13390;12971;41;377;3374;10215;9581;15428;1639;11442;Le Grand-Quevilly
76351;165830;46.95;13734;10892;81382;93827;81382;2230;10214;32040;71199;65157;102235;14902;71554;Le Havre
76498;21997;4.35;2293;1093;10154;11509;10154;80;1275;4074;8016;7353;14087;1939;10243;Le Petit-Quevilly
